timestamp_ms,sample_number,imu,ax,ay,az,gx,gy,gz,temp
149263,96,0x6A,0.802792,-14.112868,20.043478,0.559247,-0.714865,3.054937,18.89
149263,96,0x6B,1.305285,2.803192,20.256439,-0.431424,-1.435533,-3.186731,21.05
149266,97,0x6A,1.241875,-13.143774,20.122442,0.549626,-0.653320,3.087924,18.89
149266,97,0x6B,1.336391,2.712264,19.976480,-0.408974,-1.473102,-3.096476,21.05
149268,98,0x6A,1.228714,-12.631711,20.280367,0.529620,-0.508240,3.104417,18.89
149268,98,0x6B,1.457229,2.634498,19.616360,-0.387594,-1.514488,-3.005304,21.05
149271,99,0x6A,1.271785,-12.080165,20.159529,0.567494,-0.396604,3.106708,18.89
149271,99,0x6B,1.365105,2.380858,19.485950,-0.371253,-1.545642,-2.915965,21.05
149273,100,0x6A,1.477568,-11.438889,19.797018,0.648892,-0.259923,3.097697,18.89
149273,100,0x6B,1.564906,2.213361,19.113867,-0.358578,-1.583363,-2.829222,21.05
149276,101,0x6A,1.806581,-10.923235,19.032513,0.763429,-0.106138,3.078303,18.89
149276,101,0x6B,1.743171,1.968097,18.606588,-0.351095,-1.616044,-2.745534,21.05
149278,102,0x6A,1.771885,-10.417153,17.927027,0.929126,0.033903,3.051577,18.89
149278,102,0x6B,1.545763,1.478764,18.282362,-0.336892,-1.638188,-2.674368,21.05
149281,103,0x6A,1.738386,-9.806983,16.572689,1.121701,0.124769,3.018896,18.89
149281,103,0x6B,1.447658,1.075574,17.809780,-0.309709,-1.668578,-2.620917,21.05
149394,104,0x6A,0.976272,-2.752943,4.380062,3.091894,2.259438,2.221717,18.90
149394,104,0x6B,1.640280,-0.147159,1.714458,1.124756,-1.024574,-1.310459,21.04
149397,105,0x6A,1.000200,-3.030510,3.651447,3.133891,2.300671,2.160325,18.90
149397,105,0x6B,1.375873,-0.093320,1.730011,1.129184,-0.957226,-1.314429,21.05
149399,106,0x6A,0.658026,-2.484946,2.889333,3.167794,2.319761,2.166739,18.90
149399,106,0x6B,1.603191,1.738386,1.471586,1.158200,-0.895987,-1.280374,21.05
149402,107,0x6A,0.474975,-2.148755,2.130809,3.159853,2.337934,2.169946,18.90
149402,107,0x6B,1.807778,1.653440,1.263410,1.115898,-0.825126,-1.118036,21.05
149404,108,0x6A,0.604188,-1.403391,1.506282,3.150843,2.328313,2.175596,18.89
149404,108,0x6B,1.118644,0.626920,1.434497,1.129795,-0.788474,-1.028239,21.05
149407,109,0x6A,0.859023,-0.661615,1.136591,3.122132,2.314263,2.151315,18.89
149407,109,0x6B,1.879562,1.598405,0.946361,1.228755,-0.802219,-0.987311,21.05
149409,110,0x6A,0.314656,-0.094517,0.617348,3.077081,2.282498,2.105042,18.89
149409,110,0x6B,1.399801,2.165505,0.606581,1.271669,-0.784351,-0.938442,21.05
149412,111,0x6A,0.271585,0.557528,0.339781,3.028670,2.217746,2.045330,18.89
149412,111,0x6B,1.391426,2.642873,0.512064,1.300990,-0.778700,-0.860098,21.05
149414,112,0x6A,0.496511,0.977468,0.271585,2.939483,2.183232,1.943773,18.89
149414,112,0x6B,1.404587,2.368894,0.270389,1.313513,-0.747241,-0.779159,21.05
149417,113,0x6A,-0.135194,1.031307,0.189033,2.865721,2.166128,1.853670,18.89
149417,113,0x6B,1.051646,1.775474,0.269193,1.341918,-0.727999,-0.733955,21.06
149419,114,0x6A,-0.047856,1.511068,0.078963,2.812576,2.152995,1.721418,18.89
149419,114,0x6B,1.343570,1.464407,-0.169890,1.376432,-0.742201,-0.691499,21.06
149422,115,0x6A,-0.780060,1.292124,-0.236889,2.825710,2.120924,1.639410,18.89
149422,115,0x6B,1.494318,1.601995,-0.452244,1.459204,-0.702495,-0.672257,21.06
149424,116,0x6A,-0.344566,1.470389,-0.593420,2.848923,2.080302,1.624902,18.87
149424,116,0x6B,1.610370,1.724029,-0.829113,1.519222,-0.669661,-0.636522,21.06
149427,117,0x6A,-0.349352,1.868794,-1.013360,2.824030,2.068390,1.632843,18.87
149427,117,0x6B,1.692922,1.740778,-1.060021,1.591762,-0.633620,-0.604604,21.06
149429,118,0x6A,-0.563510,2.335395,-1.544567,2.805704,2.049758,1.645976,18.87
149429,118,0x6B,1.627119,1.811367,-1.184447,1.652085,-0.597121,-0.592845,21.06
149432,119,0x6A,-0.437887,3.221936,-2.100899,2.785851,2.023949,1.624596,18.87
149432,119,0x6B,1.433301,1.923829,-1.221536,1.698511,-0.574213,-0.599870,21.06
149434,120,0x6A,-0.100499,3.929015,-2.749353,2.753017,1.993864,1.558928,18.87
149434,120,0x6B,1.261017,2.019542,-1.341177,1.745089,-0.565967,-0.620792,21.09
149437,121,0x6A,-0.173480,4.244868,-3.723232,2.699414,1.966070,1.460884,18.87
149437,121,0x6B,1.177269,2.242075,-1.409373,1.787239,-0.552375,-0.641867,21.09
149439,122,0x6A,-0.223729,4.926822,-4.301099,2.602286,1.870317,1.301754,18.87
149439,122,0x6B,1.042074,2.536392,-1.585245,1.839162,-0.555735,-0.652709,21.09
149442,123,0x6A,-0.311067,5.344369,-4.765306,2.462245,1.819768,1.156368,18.88
149442,123,0x6B,1.265803,2.701497,-1.866402,1.897042,-0.544434,-0.648128,21.09
149444,124,0x6A,-0.162712,5.170890,-5.063213,2.291661,1.753794,1.032362,18.88
149444,124,0x6B,1.375873,3.012564,-1.942972,1.949576,-0.519999,-0.645074,21.09
149447,125,0x6A,0.025125,5.118248,-5.229514,2.135432,1.687363,0.926530,18.88
149447,125,0x6B,1.568495,3.062813,-2.246860,2.007761,-0.503353,-0.633162,21.09
149449,126,0x6A,0.238086,5.485546,-5.279763,1.974927,1.642769,0.781907,18.88
149449,126,0x6B,1.605584,3.059224,-2.519642,2.045330,-0.464258,-0.634689,21.09
149452,127,0x6A,-0.106481,5.469993,-5.343173,1.813812,1.628414,0.631940,18.88
149452,127,0x6B,1.657030,2.834299,-3.278167,2.022880,-0.431424,-0.636827,21.09
