timestamp_ms,sample_number,imu,ax,ay,az,gx,gy,gz,temp
12245,57,0x6B,-4.588237,0.836291,8.171490,0.109498,-0.410043,0.393550,23.25
12295,58,0x6A,-4.266403,-2.143969,-9.005387,0.074373,0.280234,-0.191048,23.00
12295,58,0x6B,-4.384848,1.424926,9.302097,0.087048,-0.283594,0.141721,23.28
12345,59,0x6A,-4.244868,-1.795813,-8.975477,0.089339,0.390496,-0.116675,23.01
12345,59,0x6B,-4.322634,1.182054,9.311669,0.095142,-0.398284,0.095906,23.30
12395,60,0x6A,-4.546363,-2.197808,-10.174282,0.023518,0.219148,-0.027642,22.98
12395,60,0x6B,-4.589434,1.537389,9.912268,0.023366,-0.217926,0.008094,23.24
12445,61,0x6A,-4.612165,-1.456033,-9.924232,-0.020159,0.043830,0.087506,23.00
12445,61,0x6B,-4.752146,0.833899,10.271192,-0.003818,-0.049175,-0.126144,23.25
12495,62,0x6A,-4.959125,-1.630709,-10.433904,-0.084605,-0.116217,0.160352,22.99
12495,62,0x6B,-5.076373,1.101895,10.165907,-0.101251,0.083230,-0.164323,23.25
12545,63,0x6A,-4.244868,-0.252443,-9.020942,-0.208152,-0.268170,0.135918,23.00
12545,63,0x6B,-4.284349,-0.136391,9.251848,-0.183718,0.266795,-0.139277,23.25
12595,64,0x6A,-3.455236,-0.859023,-10.541580,-0.344681,-0.089339,0.047647,23.00
12595,64,0x6B,-2.868994,0.698704,9.079565,-0.328951,0.173486,-0.044899,23.24
